City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
80,Guerrero Negro,MX,27.9769,-114.0611,81.55,53,0,14.23,clear sky
81,Dikson,RU,73.5069,80.5464,38.21,94,100,12.06,overcast clouds
82,Barrow,US,71.2906,-156.7887,41.02,93,90,23.02,moderate rain
83,Butaritari,KI,3.0707,172.7902,82.44,71,47,10.36,scattered clouds
84,Manokwari,ID,-0.8667,134.0833,79.77,76,87,2.68,light rain
85,Machiques,VE,10.0644,-72.545,88.93,58,45,4.81,scattered clouds
86,Shingu,JP,33.7333,135.9833,80.91,92,3,5.28,clear sky
87,Sungaipenuh,ID,-2.0833,101.3833,64.62,98,100,0.76,overcast clouds
88,Taree,AU,-31.9,152.4667,53.53,82,90,4.61,overcast clouds
89,Hermanus,ZA,-34.4187,19.2345,55.8,71,6,16.26,clear sky
90,Phalaborwa,ZA,-23.943,31.1411,60.08,43,0,5.82,clear sky
91,Dunedin,NZ,-45.8742,170.5036,49.8,56,81,15.01,broken clouds
92,Amapa,BR,1.0,-52.0,83.34,70,51,3.74,broken clouds
93,Baykit,RU,61.67,96.37,56.7,89,95,4.12,overcast clouds
94,Talnakh,RU,69.4865,88.3972,55.54,84,100,3.24,overcast clouds
95,Santa Maria,BR,-29.6842,-53.8069,49.3,62,75,11.5,broken clouds
96,Port Elizabeth,ZA,-33.918,25.5701,55.69,76,75,6.91,broken clouds
97,Tazmalt,DZ,36.3868,4.3989,90.93,28,0,1.72,clear sky
98,Jamestown,US,42.097,-79.2353,79.84,56,75,8.05,broken clouds
99,Bethel,US,41.3712,-73.414,81.41,54,20,4.0,few clouds
100,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,81,40,9.19,scattered clouds
101,Astoria,US,46.1879,-123.8313,82.71,76,1,3.0,clear sky
102,Mar Del Plata,AR,-38.0023,-57.5575,47.08,63,75,3.0,broken clouds
103,Aklavik,CA,68.2191,-135.0107,65.12,72,75,6.91,broken clouds
104,Hovd,MN,48.0056,91.6419,63.39,38,0,3.04,clear sky
105,Esfahan,IR,32.6572,51.6776,82.04,15,0,12.82,clear sky
106,Tutoia,BR,-2.7619,-42.2744,85.98,73,6,12.91,clear sky
107,Touros,BR,-5.1989,-35.4608,83.3,69,6,17.11,clear sky
108,Constitucion,CL,-35.3333,-72.4167,58.93,41,0,4.23,clear sky
109,Namibe,AO,-15.1961,12.1522,64.53,90,13,7.09,few clouds
110,Severo-Kurilsk,RU,50.6789,156.125,56.08,97,100,5.84,overcast clouds
111,Bathsheba,BB,13.2167,-59.5167,75.81,94,75,9.22,light rain
112,Cape Town,ZA,-33.9258,18.4232,53.28,79,20,9.22,few clouds
113,Hobart,AU,-42.8794,147.3294,45.27,74,71,4.0,light rain
114,Vila Velha,BR,-20.3297,-40.2925,78.96,68,0,12.66,clear sky
115,Chokurdakh,RU,70.6333,147.9167,37.9,80,100,10.31,overcast clouds
116,Stodolishche,RU,54.1859,32.6492,65.84,87,9,5.39,clear sky
117,Djambala,CG,-2.5447,14.7533,78.42,39,93,4.36,overcast clouds
118,Bereznik,RU,62.8551,42.7072,60.35,58,46,4.16,scattered clouds
119,Kurchum,KZ,48.5722,83.6542,58.98,53,0,7.9,clear sky
120,Ponta Delgada,PT,37.7333,-25.6667,72.32,83,20,16.11,few clouds
121,Nikolskoye,RU,59.7035,30.7861,66.79,97,100,3.89,overcast clouds
122,Dingle,PH,10.9995,122.6711,78.21,84,100,9.26,overcast clouds
123,Camacha,PT,33.0833,-16.3333,70.56,73,20,14.97,few clouds
124,Brigantine,US,39.4101,-74.3646,87.13,69,20,12.66,few clouds
125,Lorengau,PG,-2.0226,147.2712,81.86,78,100,5.66,overcast clouds
126,Swellendam,ZA,-34.0226,20.4417,50.38,76,3,4.9,clear sky
127,Puerto Maldonado,PE,-12.6,-69.1833,64.8,59,90,8.05,overcast clouds
128,Kununurra,AU,-15.7667,128.7333,64.38,94,86,0.0,overcast clouds
129,Broome,US,42.2506,-75.833,77.7,57,40,1.01,scattered clouds
130,Buraydah,SA,26.326,43.975,99.05,14,6,10.47,clear sky
131,Gat,IL,31.61,34.7642,81.91,100,0,4.63,clear sky
132,Chuy,UY,-33.6971,-53.4616,45.75,70,17,18.95,light rain
133,Saint-Joseph,RE,-21.3667,55.6167,70.18,85,100,18.57,light rain
134,Nenjiang,CN,49.1833,125.2167,66.69,94,98,6.2,overcast clouds
135,Opuwo,NA,-18.0607,13.84,62.87,24,2,7.25,clear sky
136,Veraval,IN,20.9,70.3667,81.84,85,100,24.76,overcast clouds
137,Hualmay,PE,-11.0964,-77.6139,69.24,70,73,12.64,broken clouds
138,Kathu,TH,7.9178,98.3332,84.69,89,100,17.16,overcast clouds
139,Sulphur,US,30.2366,-93.3774,91.99,63,90,3.44,overcast clouds
140,Breznik,BG,42.7414,22.8981,78.21,57,52,4.18,broken clouds
141,Jenison,US,42.9072,-85.792,89.46,60,34,1.99,scattered clouds
142,Lasa,IT,46.6166,10.7002,66.11,91,32,1.83,scattered clouds
143,Rexburg,US,43.826,-111.7897,79.86,28,28,8.39,light rain
144,Iqaluit,CA,63.7506,-68.5145,51.53,61,75,5.01,broken clouds
145,Port Alfred,ZA,-33.5906,26.891,60.89,78,100,8.03,light rain
146,Cherskiy,RU,68.75,161.3,36.19,92,100,13.8,overcast clouds
147,Thompson,CA,55.7435,-97.8558,62.76,59,75,13.8,broken clouds
148,Faanui,PF,-16.4833,-151.75,76.91,75,77,3.31,light rain
149,Yellowknife,CA,62.456,-114.3525,69.3,63,20,1.01,few clouds
150,Kalaleh,IR,37.3807,55.4916,79.12,85,91,8.93,overcast clouds
151,Georgetown,MY,5.4112,100.3354,84.15,78,20,5.75,few clouds
152,Palauig,PH,15.435,119.9045,80.94,88,100,12.44,heavy intensity rain
153,Samarai,PG,-10.6167,150.6667,78.89,85,100,5.73,overcast clouds
154,Tautira,PF,-17.7333,-149.15,80.62,76,23,6.4,few clouds
155,Bluff,NZ,-46.6,168.3333,42.8,87,22,9.26,few clouds
156,Autazes,BR,-3.5797,-59.1306,97.05,27,1,3.47,clear sky
157,Riyadh,SA,24.6877,46.7219,102.34,11,100,10.4,overcast clouds
158,Kozhva,RU,65.1073,57.0459,44.06,97,100,3.51,overcast clouds
159,Aragarcas,BR,-15.8975,-52.2508,86.65,51,0,9.22,clear sky
160,Dauriya,RU,49.9333,116.8667,60.93,83,27,2.13,scattered clouds
161,Buenavista,PH,8.9769,125.4089,75.79,87,34,4.41,scattered clouds
