City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saskylakh,RU,2021-07-26 17:45:13,71.9167,114.0833,45.1,89,49,2.73
1,Tura,IN,2021-07-26 17:41:06,25.5198,90.2201,76.78,93,100,2.91
2,Manaure,CO,2021-07-26 17:45:13,11.7751,-72.4445,88.84,58,49,8.79
3,Puerto Ayora,EC,2021-07-26 17:40:19,-0.7393,-90.3518,78.76,80,81,7.0
4,Punta Arenas,CL,2021-07-26 17:45:14,-53.15,-70.9167,42.91,75,0,18.41
5,Mataura,NZ,2021-07-26 17:45:14,-46.1927,168.8643,42.48,98,91,2.95
6,Busselton,AU,2021-07-26 17:45:14,-33.65,115.3333,56.08,68,55,32.73
7,Mar Del Plata,AR,2021-07-26 17:43:44,-38.0023,-57.5575,54.09,59,40,8.01
8,Georgetown,MY,2021-07-26 17:45:15,5.4112,100.3354,84.88,85,20,1.99
9,Satuk,TR,2021-07-26 17:45:15,41.2263,32.3836,65.05,87,35,1.88
10,Hovd,MN,2021-07-26 17:45:16,48.0056,91.6419,63.64,69,91,1.99
11,Loralai,PK,2021-07-26 17:44:24,30.3705,68.598,88.84,35,81,9.6
12,Nabire,ID,2021-07-26 17:45:16,-3.3667,135.4833,75.34,91,65,3.42
13,Lebanon,US,2021-07-26 17:42:11,36.2081,-86.2911,91.62,74,20,9.22
14,Kolyvan,RU,2021-07-26 17:45:17,55.3053,82.7391,61.05,85,100,11.99
15,Hobart,AU,2021-07-26 17:45:17,-42.8794,147.3294,53.46,84,90,3.0
16,Lompoc,US,2021-07-26 17:41:56,34.6391,-120.4579,76.69,78,75,0.0
17,Andenes,NO,2021-07-26 17:45:18,69.3143,16.1194,59.47,93,75,10.36
18,Tuktoyaktuk,CA,2021-07-26 17:45:18,69.4541,-133.0374,46.4,81,90,9.22
19,Ponta Do Sol,PT,2021-07-26 17:45:18,32.6667,-17.1,81.01,77,21,2.48
20,Bluff,NZ,2021-07-26 17:45:19,-46.6,168.3333,42.8,78,79,17.0
21,Mount Isa,AU,2021-07-26 17:45:19,-20.7333,139.5,42.57,61,20,0.0
22,Manati,PR,2021-07-26 17:45:19,18.4275,-66.4921,89.89,80,89,16.75
23,Bredasdorp,ZA,2021-07-26 17:45:20,-34.5322,20.0403,60.12,41,52,9.22
24,Esperance,AU,2021-07-26 17:45:20,-33.8667,121.9,55.24,75,68,30.29
25,Thompson,CA,2021-07-26 17:41:47,55.7435,-97.8558,64.56,36,20,5.75
26,Khatanga,RU,2021-07-26 17:45:21,71.9667,102.5,58.64,69,74,12.06
27,Marawi,PH,2021-07-26 17:45:21,7.9986,124.2928,72.64,88,100,5.35
28,Mutata,CO,2021-07-26 17:45:22,7.2441,-76.4356,82.74,79,75,4.27
29,East London,ZA,2021-07-26 17:45:22,-33.0153,27.9116,61.74,48,0,6.91
30,New Braunfels,US,2021-07-26 17:42:27,29.703,-98.1245,95.11,59,1,1.01
31,Ushuaia,AR,2021-07-26 17:41:30,-54.8,-68.3,35.26,87,75,5.75
32,Mackay,AU,2021-07-26 17:45:23,-21.15,149.2,54.05,100,18,2.3
33,Carnarvon,AU,2021-07-26 17:45:23,-24.8667,113.6333,68.07,84,90,16.11
34,Vaini,TO,2021-07-26 17:45:23,-21.2,-175.2,75.45,77,77,9.53
35,Were Ilu,ET,2021-07-26 17:45:24,10.6,39.4333,55.45,88,98,2.62
36,Tamandare,BR,2021-07-26 17:45:24,-8.7597,-35.1047,78.91,71,14,8.81
37,Rikitea,PF,2021-07-26 17:44:31,-23.1203,-134.9692,73.54,74,36,17.83
38,Dikson,RU,2021-07-26 17:45:25,73.5069,80.5464,41.56,91,92,4.61
39,Kirakira,SB,2021-07-26 17:45:25,-10.4544,161.9205,77.72,85,100,7.76
40,Cabedelo,BR,2021-07-26 17:45:26,-6.9811,-34.8339,83.07,72,1,14.47
41,Pangnirtung,CA,2021-07-26 17:45:26,66.1451,-65.7125,51.8,100,90,5.75
42,Port Macquarie,AU,2021-07-26 17:43:07,-31.4333,152.9167,46.38,78,0,5.5
43,Luderitz,NA,2021-07-26 17:45:27,-26.6481,15.1594,67.35,46,1,9.13
44,Rasskazovo,RU,2021-07-26 17:45:27,52.6714,41.9033,65.21,57,41,2.46
45,Viedma,AR,2021-07-26 17:45:27,-40.8135,-62.9967,47.43,41,45,26.75
46,Yellowknife,CA,2021-07-26 17:45:28,62.456,-114.3525,70.32,55,75,3.0
47,Kununurra,AU,2021-07-26 17:45:28,-15.7667,128.7333,64.38,88,92,0.0
48,Aden,YE,2021-07-26 17:45:29,12.7794,45.0367,83.84,73,41,8.08
49,Castro,BR,2021-07-26 17:45:29,-24.7911,-50.0119,72.18,42,7,8.77
50,Jamestown,US,2021-07-26 17:42:16,42.097,-79.2353,83.52,48,75,3.0
51,Lipari,IT,2021-07-26 17:45:30,38.4674,14.954,84.74,61,3,8.97
52,Nikolskoye,RU,2021-07-26 17:45:30,59.7035,30.7861,76.89,67,25,3.85
53,Qaanaaq,GL,2021-07-26 17:45:30,77.484,-69.3632,44.49,54,89,9.71
54,Hamilton,US,2021-07-26 17:42:58,39.1834,-84.5333,91.09,52,40,1.01
55,Ribeira Grande,PT,2021-07-26 17:45:31,38.5167,-28.7,79.2,61,20,16.11
56,Petropavlovsk-Kamchatskiy,RU,2021-07-26 17:45:31,53.0452,158.6483,70.39,83,40,6.71
57,Saint-Philippe,RE,2021-07-26 17:45:32,-21.3585,55.7679,67.59,80,62,11.77
58,Kloulklubed,PW,2021-07-26 17:42:35,7.0419,134.2556,84.06,79,100,16.2
59,Salalah,OM,2021-07-26 17:41:18,17.0151,54.0924,78.89,89,75,4.61
60,Port Elizabeth,ZA,2021-07-26 17:45:32,-33.918,25.5701,66.09,34,100,9.1
61,Lorengau,PG,2021-07-26 17:45:33,-2.0226,147.2712,80.89,76,46,2.95
62,Urusha,RU,2021-07-26 17:45:33,54.05,122.9,56.21,94,90,4.29
63,Tiksi,RU,2021-07-26 17:45:33,71.6872,128.8694,38.59,90,99,11.23
64,Svetlogorsk,BY,2021-07-26 17:45:34,52.6333,29.7333,71.1,59,85,6.69
65,Yerkoy,TR,2021-07-26 17:45:34,39.6381,34.4672,75.6,48,27,10.65
66,Butaritari,KI,2021-07-26 17:45:35,3.0707,172.7902,82.33,73,95,7.52
67,Taman,RU,2021-07-26 17:45:35,45.2117,36.7161,77.34,50,98,16.84
68,Atuona,PF,2021-07-26 17:45:03,-9.8,-139.0333,77.52,70,55,25.08
69,Hermanus,ZA,2021-07-26 17:45:36,-34.4187,19.2345,59.56,69,28,3.18
70,Ancud,CL,2021-07-26 17:40:44,-41.8697,-73.8203,47.73,61,40,7.63
71,Santa Isabel Do Rio Negro,BR,2021-07-26 17:45:36,-0.4139,-65.0192,86.41,64,87,3.29
72,Verkhoyansk,RU,2021-07-26 17:45:36,67.5447,133.385,57.45,79,49,4.32
73,Talnakh,RU,2021-07-26 17:45:37,69.4865,88.3972,63.77,84,97,2.51
74,Floro,NO,2021-07-26 17:45:37,61.5996,5.0328,81.3,50,0,6.91
75,Hithadhoo,MV,2021-07-26 17:45:37,-0.6,73.0833,81.18,78,65,9.17
76,Teguldet,RU,2021-07-26 17:45:38,57.3064,88.1667,64.89,97,82,4.88
77,Chapais,CA,2021-07-26 17:45:38,49.7834,-74.8492,64.18,90,93,11.5
78,Biak,ID,2021-07-26 17:45:39,-0.9131,122.8766,72.66,73,36,6.73
79,Severo-Kurilsk,RU,2021-07-26 17:45:39,50.6789,156.125,56.21,94,88,7.05
80,Beringovskiy,RU,2021-07-26 17:45:39,63.05,179.3167,52.65,93,100,5.26
81,Kapaa,US,2021-07-26 17:44:55,22.0752,-159.319,80.92,81,1,1.01
82,Jian,CN,2021-07-26 17:45:40,27.1172,114.9793,80.67,73,67,2.8
83,Lovozero,RU,2021-07-26 17:45:40,68.005,35.0117,50.09,78,87,12.8
84,Chuy,UY,2021-07-26 17:44:23,-33.6971,-53.4616,54.88,74,100,12.88
85,Vredendal,ZA,2021-07-26 17:45:41,-31.6683,18.5012,62.69,34,53,3.71
86,Saldanha,ZA,2021-07-26 17:45:41,-33.0117,17.9442,64.45,73,5,7.38
87,Sulangan,PH,2021-07-26 17:45:41,11.1373,123.7228,83.97,74,100,14.52
88,Taguatinga,BR,2021-07-26 17:45:42,-12.3857,-46.5711,92.41,18,51,4.74
89,Westport,US,2021-07-26 17:45:42,41.1415,-73.3579,91.45,60,1,1.01
90,Bajil,YE,2021-07-26 17:45:42,15.0584,43.2851,87.22,62,100,7.07
91,Koungou,YT,2021-07-26 17:45:43,-12.7336,45.2042,74.91,69,20,12.66
92,Noumea,NC,2021-07-26 17:45:43,-22.2763,166.4572,69.01,99,88,7.0
93,Dongsheng,CN,2021-07-26 17:45:43,39.8161,109.9776,67.59,62,1,5.48
94,Batagay,RU,2021-07-26 17:45:44,67.6333,134.6333,56.14,88,55,4.68
95,Asfi,MA,2021-07-26 17:45:44,32.2994,-9.2372,74.3,72,0,23.42
96,Sekoma,BW,2021-07-26 17:45:45,-24.4,23.8833,49.96,34,0,7.54
